time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,condition_number,manipulability,sigma_min,sigma_max,status,speed_factor,adaptive_gain
21.034249544143677,0.0,-1.4,1.44,-1.2,1.03,0.0,7.043037826143793e-05,-0.04909766586322015,0.0578450513588905,-0.00868604562424196,2.488279930217573e-05,-8.685722303563861e-05,7.455009731308439,0.2327840881170518,0.2810441530640153,2.0951868960195728,NORMAL,1.0,1.0
21.04201054573059,0.00043828347076820445,-1.399824544136533,1.4399992988075945,-1.1997544311194734,1.029999603732459,0.00035062502543251034,8.717002734830448e-05,-0.0490921715644979,0.05784605508454067,-0.008683342138753802,3.158991679118591e-05,-0.00010472264803354244,7.4548412371090595,0.23280853505788177,0.28104981648719585,2.0951817616306814,NORMAL,1.0,1.0
21.050491094589233,0.0008623016302613325,-1.3996545271478782,1.4399972858138252,-1.1995166102238917,1.029998466130643,0.0006898279674177723,0.00010336155537658653,-0.04908685655552903,0.05784703961597186,-0.008680744491685691,3.808959093172329e-05,-0.00012199697687675102,7.454684911152017,0.23283209616872763,0.28105508704803883,2.095177116619532,NORMAL,1.0,1.0
21.05873441696167,0.0012486133363239743,-1.3994993955195705,1.4399943091764686,-1.1992997318586567,1.029996783955955,0.0009988501770761594,0.00011811041036593861,-0.04908201460456955,0.05784794818444603,-0.00867839311812615,4.402052909670967e-05,-0.00013772694963131967,7.45454820827416,0.2328534851579945,0.28105971041098604,2.09517316066227,NORMAL,1.0,1.0
21.06624746322632,0.0016247749627221397,-1.3993481250122364,1.4399903637822962,-1.1990883661251877,1.0299945543204991,0.0012997307465432522,0.00013246915788571123,-0.04907730026740696,0.05784884354366109,-0.00867611751644327,4.980408150016862e-05,-0.00015303612045948923,7.454420338709168,0.232874241908394,0.281064048765005,2.095169561593799,NORMAL,1.0,1.0
21.073920011520386,0.0020336179667829967,-1.3991834706401738,1.4399849039506456,-1.1988584322790208,1.0299914688467997,0.0016267194172463586,0.00014807249980848034,-0.04907217680345688,0.05784982867610023,-0.008673659861226975,5.609952655290169e-05,-0.00016966698635197564,7.454287224528573,0.23289672364251235,0.2810685810566833,2.095165932987208,NORMAL,1.0,1.0
21.082440853118896,0.0024595521957194626,-1.3990116647314166,1.439977917668551,-1.1986186637345566,1.029987520740945,0.001967332217072645,0.0001643248839653888,-0.049066839691046374,0.057850868327460385,-0.008671116806367249,6.266852522121867e-05,-0.00018698381758401145,7.454155042944236,0.2329200586159674,0.28107310009635433,2.0951624665192097,NORMAL,1.0,1.0
21.090446949005127,0.002859715116411164,-1.3988500035331974,1.4399701468901691,-1.1983931992084842,1.02998312928767,0.0022872855223249776,0.00017959088863088001,-0.04906182601881207,0.057851857532690745,-0.008668743740358214,6.884967049646802e-05,-0.00020324428771171117,7.454036899958195,0.23294190143811758,0.28107715722733645,2.095159501707917,NORMAL,1.0,1.0
21.09848928451538,0.003211422838588279,-1.3987077165525639,1.4399623511593533,-1.198194876068674,1.0299787237144793,0.0025684491425652747,0.00019300592522420834,-0.04905741987516149,0.057852736968418174,-0.008666670921044449,7.428999993922066e-05,-0.00021752893363557739,7.453937895519112,0.23296103531759363,0.28108057229678646,2.095157129537216,NORMAL,1.0,1.0
21.106040000915527,0.0036389540379263606,-1.3985345000434635,1.439951657564769,-1.1979535992772323,1.029972680442576,0.0029101605134820747,0.00020930999340458277,-0.04905206438877892,0.05785381867181712,-0.008664167476353572,8.091278786186452e-05,-0.00023488452640884046,7.45382363638214,0.2329842137662493,0.28108453361295155,2.095154540465668,NORMAL,1.0,1.0
